Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,Africa,total,Drinking water,2005,9.95091,73949377.87619,Limited service
who,Africa,rural,Drinking water,2005,10.66707,51454302.5664,Limited service
who,Africa,urban,Drinking water,2005,8.62621,22495076.1313,Limited service
who,Africa,total,Drinking water,2005,21.78757,161912473.83878,Safely managed service
who,Africa,rural,Drinking water,2005,8.64886,41719141.79296,Safely managed service
who,Africa,urban,Drinking water,2005,46.09065,120193334.50696,Safely managed service
who,Africa,total,Drinking water,2005,15.05561,111884501.1766,Surface water
who,Africa,rural,Drinking water,2005,21.62704,104321400.01151,Surface water
who,Africa,urban,Drinking water,2005,2.90023,7563102.15981,Surface water
who,Africa,total,Drinking water,2005,23.34455,173483070.89612,Unimproved
who,Africa,rural,Drinking water,2005,31.5465,152169493.12914,Unimproved
who,Africa,urban,Drinking water,2005,8.17314,21313577.47648,Unimproved
who,Africa,total,Drinking water,2006,30.23623,230664252.48891,Basic service
who,Africa,rural,Drinking water,2006,28.13455,138290775.65878,Basic service
who,Africa,urban,Drinking water,2006,34.04343,92373480.76521,Basic service
who,Africa,total,Drinking water,2006,10.13804,77340416.26963,Limited service
who,Africa,rural,Drinking water,2006,11.02807,54206687.76192,Limited service
who,Africa,urban,Drinking water,2006,8.52573,23133729.79552,Limited service
who,Africa,total,Drinking water,2006,22.35221,170519162.11211,Safely managed service
who,Africa,rural,Drinking water,2006,8.92224,43855834.16917,Safely managed service
who,Africa,urban,Drinking water,2006,46.68066,126663331.09022,Safely managed service
who,Africa,total,Drinking water,2006,14.46875,110378271.54831,Surface water
who,Africa,rural,Drinking water,2006,20.91673,102812754.09751,Surface water
who,Africa,urban,Drinking water,2006,2.78821,7565519.18475,Surface water
who,Africa,total,Drinking water,2006,22.80478,173971647.38028,Unimproved
who,Africa,rural,Drinking water,2006,30.99841,152367631.70811,Unimproved
who,Africa,urban,Drinking water,2006,7.96197,21604015.3163,Unimproved
who,Africa,total,Drinking water,2007,30.57905,239531479.73919,Basic service
who,Africa,rural,Drinking water,2007,28.7285,143903819.36674,Basic service
who,Africa,urban,Drinking water,2007,33.86136,95627662.85489,Basic service
who,Africa,total,Drinking water,2007,10.31743,80818394.18874,Limited service
who,Africa,rural,Drinking water,2007,11.38828,57044984.05385,Limited service
who,Africa,urban,Drinking water,2007,8.41807,23773410.94604,Limited service
who,Africa,total,Drinking water,2007,22.95885,179841023.43298,Safely managed service
who,Africa,rural,Drinking water,2007,9.23549,46261437.5388,Safely managed service
who,Africa,urban,Drinking water,2007,47.29998,133579587.95054,Safely managed service
who,Africa,total,Drinking water,2007,13.8834,108751279.60167,Surface water
who,Africa,rural,Drinking water,2007,20.20335,101200499.7608,Surface water
who,Africa,urban,Drinking water,2007,2.6737,7550780.85647,Surface water
who,Africa,total,Drinking water,2007,22.26127,174376786.03741,Unimproved
who,Africa,rural,Drinking water,2007,30.44438,152498812.50881,Unimproved
who,Africa,urban,Drinking water,2007,7.7469,21877969.95333,Unimproved
who,Africa,total,Drinking water,2008,30.90807,248649133.66292,Basic service
who,Africa,rural,Drinking water,2008,29.32059,149622249.2186,Basic service
who,Africa,urban,Drinking water,2008,33.66176,99026883.23158,Basic service
who,Africa,total,Drinking water,2008,10.48928,84384098.87145,Limited service
who,Africa,rural,Drinking water,2008,11.74827,59951116.22608,Limited service
who,Africa,urban,Drinking water,2008,8.30539,24432982.12477,Limited service
who,Africa,total,Drinking water,2008,23.60065,189862455.01608,Safely managed service
who,Africa,rural,Drinking water,2008,9.56587,48814424.96411,Safely managed service
who,Africa,urban,Drinking water,2008,47.94581,141048029.90231,Safely managed service
who,Africa,total,Drinking water,2008,13.29547,106959372.99394,Surface water
who,Africa,rural,Drinking water,2008,19.48553,99434208.11846,Surface water
who,Africa,urban,Drinking water,2008,2.55799,7525163.93838,Surface water
who,Africa,total,Drinking water,2008,21.70654,174624711.45561,Unimproved
who,Africa,rural,Drinking water,2008,29.87974,152475610.47924,Unimproved
who,Africa,urban,Drinking water,2008,7.52904,22149100.69595,Unimproved
who,Africa,total,Drinking water,2009,31.21733,257963006.75198,Basic service
who,Africa,rural,Drinking water,2009,29.90358,155464704.25869,Basic service
who,Africa,urban,Drinking water,2009,33.44603,102498300.1177,Basic service
who,Africa,total,Drinking water,2009,10.65346,88034399.38061,Limited service
who,Africa,rural,Drinking water,2009,12.10817,62948743.61952,Limited service
who,Africa,urban,Drinking water,2009,8.18565,25085654.84858,Limited service
who,Africa,total,Drinking water,2009,24.2668,200527562.04986,Safely managed service
who,Africa,rural,Drinking water,2009,9.91111,51526539.37084,Safely managed service
who,Africa,urban,Drinking water,2009,48.62024,149001021.54247,Safely managed service
who,Africa,total,Drinking water,2009,12.7118,105043395.1716,Surface water
who,Africa,rural,Drinking water,2009,18.7663,97563473.71109,Surface water
who,Africa,urban,Drinking water,2009,2.44076,7479920.14216,Surface water
who,Africa,total,Drinking water,2009,21.15061,174777057.64596,Unimproved
who,Africa,rural,Drinking water,2009,29.31084,152383120.06986,Unimproved
who,Africa,urban,Drinking water,2009,7.30732,22393936.12878,Unimproved
who,Africa,total,Drinking water,2010,31.50549,267451469.38967,Basic service
who,Africa,rural,Drinking water,2010,30.47627,161412601.45779,Basic service
who,Africa,urban,Drinking water,2010,33.21284,106038867.46726,Basic service
who,Africa,total,Drinking water,2010,10.80964,91763479.10409,Limited service
who,Africa,rural,Drinking water,2010,12.46789,66034155.53553,Limited service
who,Africa,urban,Drinking water,2010,8.05878,25729323.50136,Limited service
who,Africa,total,Drinking water,2010,24.95897,211877804.12508,Safely managed service
who,Africa,rural,Drinking water,2010,10.27084,54397830.31363,Safely managed service
who,Africa,urban,Drinking water,2010,49.32491,157479972.80331,Safely managed service
who,Africa,total,Drinking water,2010,12.13221,102990841.39415,Surface water
who,Africa,rural,Drinking water,2010,18.04646,95580116.7723,Surface water
