Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,Africa,urban,Hygiene,2019,33.50712,154197415.74929,Limited service
who,Africa,total,Hygiene,2019,32.67264,356706489.40691,No handwashing facility
who,Africa,rural,Hygiene,2019,38.14756,240926945.36066,No handwashing facility
who,Africa,urban,Hygiene,2019,25.15891,115779541.85226,No handwashing facility
who,Africa,total,Hygiene,2020,28.24312,316368543.75091,Basic service
who,Africa,rural,Hygiene,2020,18.78594,120600875.60581,Basic service
who,Africa,urban,Hygiene,2020,40.93954,195767670.54937,Basic service
who,Africa,total,Hygiene,2020,38.93379,436121209.278,Limited service
who,Africa,rural,Hygiene,2020,42.9457,275700231.38874,Limited service
who,Africa,urban,Hygiene,2020,33.54773,160420978.96322,Limited service
who,Africa,total,Hygiene,2020,32.82309,367671508.74848,No handwashing facility
who,Africa,rural,Hygiene,2020,38.26836,245672901.48781,No handwashing facility
who,Africa,urban,Hygiene,2020,25.51273,121998607.89541,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2007,65.82268,367808427.04085,Basic service
who,Eastern Mediterranean,rural,Hygiene,2007,49.21222,141367353.75422,Basic service
who,Eastern Mediterranean,total,Hygiene,2007,23.30732,130238242.35767,Limited service
who,Eastern Mediterranean,rural,Hygiene,2007,34.4489,98958144.86359,Limited service
who,Eastern Mediterranean,total,Hygiene,2007,10.86999,60740074.50148,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2007,16.33887,46935152.28819,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2008,66.31961,378995669.60698,Basic service
who,Eastern Mediterranean,rural,Hygiene,2008,49.86585,145548331.22583,Basic service
who,Eastern Mediterranean,total,Hygiene,2008,23.10156,132018151.07908,Limited service
who,Eastern Mediterranean,rural,Hygiene,2008,34.26235,100004871.88801,Limited service
who,Eastern Mediterranean,total,Hygiene,2008,10.57882,60454642.31395,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2008,15.87179,46326553.29587,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2009,64.22011,375265394.38153,Basic service
who,Eastern Mediterranean,rural,Hygiene,2009,47.12652,139737991.60236,Basic service
who,Eastern Mediterranean,total,Hygiene,2009,24.67953,144212996.08565,Limited service
who,Eastern Mediterranean,rural,Hygiene,2009,36.16492,107235015.97161,Limited service
who,Eastern Mediterranean,total,Hygiene,2009,11.10035,64864086.53282,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2009,16.70856,49543670.62733,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2010,66.75591,398780356.17642,Basic service
who,Eastern Mediterranean,rural,Hygiene,2010,49.64032,149502469.84597,Basic service
who,Eastern Mediterranean,total,Hygiene,2010,22.56851,134817721.45438,Limited service
who,Eastern Mediterranean,rural,Hygiene,2010,34.26509,103196666.62626,Limited service
who,Eastern Mediterranean,total,Hygiene,2010,10.67558,63772805.3692,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2010,16.09459,48472303.61777,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2011,67.2753,410748953.74664,Basic service
who,Eastern Mediterranean,rural,Hygiene,2011,50.39626,154282563.17587,Basic service
who,Eastern Mediterranean,total,Hygiene,2011,22.39552,136735735.00915,Limited service
who,Eastern Mediterranean,rural,Hygiene,2011,34.07513,104317222.85233,Limited service
who,Eastern Mediterranean,total,Hygiene,2011,10.32917,63064706.04421,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2011,15.52861,47539114.71481,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2012,68.82797,429394480.03244,Basic service
who,Eastern Mediterranean,rural,Hygiene,2012,52.8708,164588089.66275,Basic service
who,Eastern Mediterranean,total,Hygiene,2012,22.14608,138161906.39082,Limited service
who,Eastern Mediterranean,rural,Hygiene,2012,33.2779,103594919.53164,Limited service
who,Eastern Mediterranean,total,Hygiene,2012,9.02596,56309896.57674,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2012,13.8513,43119434.88661,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2013,70.29233,447949494.4725,Basic service
who,Eastern Mediterranean,rural,Hygiene,2013,55.34811,175166900.60192,Basic service
who,Eastern Mediterranean,total,Hygiene,2013,21.56487,137425698.84967,Limited service
who,Eastern Mediterranean,rural,Hygiene,2013,32.16136,101784958.99413,Limited service
who,Eastern Mediterranean,total,Hygiene,2013,8.14279,51891302.67847,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2013,12.49053,39530312.38426,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2014,71.94775,468151543.59425,Basic service
who,Eastern Mediterranean,rural,Hygiene,2014,58.46687,188055332.30439,Basic service
who,Eastern Mediterranean,urban,Hygiene,2014,85.12568,280096212.0617,Basic service
who,Eastern Mediterranean,total,Hygiene,2014,20.57714,133891909.96754,Limited service
who,Eastern Mediterranean,rural,Hygiene,2014,30.41057,97813858.13324,Limited service
who,Eastern Mediterranean,urban,Hygiene,2014,10.96469,36078051.16308,Limited service
who,Eastern Mediterranean,total,Hygiene,2014,7.47511,48639231.09029,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2014,11.12256,35775070.25605,No handwashing facility
who,Eastern Mediterranean,urban,Hygiene,2014,3.90962,12864160.58522,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2015,73.35069,487098731.36914,Basic service
who,Eastern Mediterranean,rural,Hygiene,2015,60.80767,198552654.37956,Basic service
who,Eastern Mediterranean,urban,Hygiene,2015,85.48432,288546076.33922,Basic service
who,Eastern Mediterranean,total,Hygiene,2015,19.76744,131269338.9785,Limited service
who,Eastern Mediterranean,rural,Hygiene,2015,29.0687,94916762.50795,Limited service
who,Eastern Mediterranean,urban,Hygiene,2015,10.76977,36352575.60876,Limited service
who,Eastern Mediterranean,total,Hygiene,2015,6.88187,45700299.65967,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2015,10.12363,33056253.69749,No handwashing facility
who,Eastern Mediterranean,urban,Hygiene,2015,3.74591,12644045.66202,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2016,74.83192,506895959.53157,Basic service
who,Eastern Mediterranean,rural,Hygiene,2016,63.27669,209689521.19508,Basic service
who,Eastern Mediterranean,urban,Hygiene,2016,85.89926,297206439.41515,Basic service
who,Eastern Mediterranean,total,Hygiene,2016,18.73368,126898082.95431,Limited service
who,Eastern Mediterranean,rural,Hygiene,2016,27.24716,90293034.59005,Limited service
who,Eastern Mediterranean,urban,Hygiene,2016,10.57967,36605049.27603,Limited service
who,Eastern Mediterranean,total,Hygiene,2016,6.43439,43585255.42286,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2016,9.47615,31402556.02388,No handwashing facility
who,Eastern Mediterranean,urban,Hygiene,2016,3.52107,12182699.71882,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2017,75.89382,524142328.58621,Basic service
who,Eastern Mediterranean,rural,Hygiene,2017,65.05883,218729605.57437,Basic service
who,Eastern Mediterranean,urban,Hygiene,2017,86.1718,305412712.7282,Basic service
who,Eastern Mediterranean,total,Hygiene,2017,18.00793,124367425.47334,Limited service
who,Eastern Mediterranean,rural,Hygiene,2017,25.98919,87376375.75319,Limited service
who,Eastern Mediterranean,urban,Hygiene,2017,10.43698,36991047.91109,Limited service
who,Eastern Mediterranean,total,Hygiene,2017,6.09825,42116069.95038,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2017,8.95198,30096809.37644,No handwashing facility
who,Eastern Mediterranean,urban,Hygiene,2017,3.39122,12019259.97071,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2018,79.31514,558285148.88133,Basic service
who,Eastern Mediterranean,rural,Hygiene,2018,70.16704,239247919.02687,Basic service
who,Eastern Mediterranean,urban,Hygiene,2018,87.91008,319037232.96444,Basic service
who,Eastern Mediterranean,total,Hygiene,2018,15.96866,112400566.01975,Limited service
who,Eastern Mediterranean,rural,Hygiene,2018,23.16653,78990715.19575,Limited service
who,Eastern Mediterranean,urban,Hygiene,2018,9.20602,33409853.43895,Limited service
who,Eastern Mediterranean,total,Hygiene,2018,4.7162,33196520.92295,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2018,6.66643,22730475.86038,No handwashing facility
who,Eastern Mediterranean,urban,Hygiene,2018,2.8839,10466045.79625,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2019,80.40839,576735353.05273,Basic service
who,Eastern Mediterranean,rural,Hygiene,2019,72.02808,249012257.38239,Basic service
who,Eastern Mediterranean,urban,Hygiene,2019,88.20617,327723097.60112,Basic service
who,Eastern Mediterranean,total,Hygiene,2019,15.23734,109290976.48168,Limited service
who,Eastern Mediterranean,rural,Hygiene,2019,21.88428,75657368.34555,Limited service
who,Eastern Mediterranean,urban,Hygiene,2019,9.05243,33633609.25116,Limited service
who,Eastern Mediterranean,total,Hygiene,2019,4.35427,31231367.47391,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2019,6.08764,21045914.59006,No handwashing facility
who,Eastern Mediterranean,urban,Hygiene,2019,2.7414,10185453.18773,No handwashing facility
who,Eastern Mediterranean,total,Hygiene,2020,81.492,595561632.01152,Basic service
who,Eastern Mediterranean,rural,Hygiene,2020,73.89155,258956114.83837,Basic service
who,Eastern Mediterranean,urban,Hygiene,2020,88.49473,336605524.13687,Basic service
who,Eastern Mediterranean,total,Hygiene,2020,14.45772,105660264.79116,Limited service
who,Eastern Mediterranean,rural,Hygiene,2020,20.48795,71800901.41514,Limited service
who,Eastern Mediterranean,urban,Hygiene,2020,8.90174,33859364.40607,Limited service
who,Eastern Mediterranean,total,Hygiene,2020,4.05027,29600303.37188,No handwashing facility
who,Eastern Mediterranean,rural,Hygiene,2020,5.6205,19697295.57649,No handwashing facility
who,Eastern Mediterranean,urban,Hygiene,2020,2.60353,9903008.08706,No handwashing facility
who,South-East Asia,total,Hygiene,2010,64.378,1168753721.35269,Basic service
who,South-East Asia,rural,Hygiene,2010,56.49498,678066256.14693,Basic service
who,South-East Asia,urban,Hygiene,2010,79.75661,490687485.91897,Basic service
who,South-East Asia,total,Hygiene,2011,65.14075,1196952233.4802,Basic service
who,South-East Asia,rural,Hygiene,2011,57.27415,691202990.53467,Basic service
who,South-East Asia,urban,Hygiene,2011,80.19443,505749243.01794,Basic service
who,South-East Asia,total,Hygiene,2012,65.87235,1224594383.04138,Basic service
who,South-East Asia,rural,Hygiene,2012,58.01705,703634226.26872,Basic service
who,South-East Asia,urban,Hygiene,2012,80.61458,520960174.57109,Basic service
who,South-East Asia,total,Hygiene,2012,28.38642,527715411.67616,Limited service
who,South-East Asia,rural,Hygiene,2012,35.35531,428791232.55563,Limited service
who,South-East Asia,urban,Hygiene,2012,15.30776,98924191.01231,Limited service
who,South-East Asia,total,Hygiene,2012,5.74122,106731748.91169,No handwashing facility
who,South-East Asia,rural,Hygiene,2012,6.62764,80380452.91565,No handwashing facility
who,South-East Asia,urban,Hygiene,2012,4.07766,26351298.1866,No handwashing facility
who,South-East Asia,total,Hygiene,2013,66.63536,1252874179.88775,Basic service
who,South-East Asia,rural,Hygiene,2013,58.79354,716203237.7032,Basic service
who,South-East Asia,urban,Hygiene,2013,81.06474,536670960.03144,Basic service
who,South-East Asia,total,Hygiene,2013,28.05365,527463083.29705,Limited service
who,South-East Asia,rural,Hygiene,2013,35.04408,426895270.4154,Limited service
who,South-East Asia,urban,Hygiene,2013,15.19088,100567821.85951,Limited service
who,South-East Asia,total,Hygiene,2013,5.31099,99856972.65797,No handwashing facility
who,South-East Asia,rural,Hygiene,2013,6.16239,75068123.1014,No handwashing facility
who,South-East Asia,urban,Hygiene,2013,3.74438,24788851.18906,No handwashing facility
who,South-East Asia,total,Hygiene,2014,67.38659,1281050368.87946,Basic service
who,South-East Asia,rural,Hygiene,2014,59.55332,728323431.44721,Basic service
who,South-East Asia,urban,Hygiene,2014,81.51478,552726895.82972,Basic service
who,South-East Asia,total,Hygiene,2014,27.72956,527151919.66846,Limited service
who,South-East Asia,rural,Hygiene,2014,34.74478,424920625.03474,Limited service
